threads,mechanism,avg_success,avg_fail,avg_elapsed_ms,tps,negative_stock
100,NO_LOCK,100,0,2,36619.31,0
100,SYNCHRONIZED,100,0,0,205107.17,0
100,FILE_LOCK,100,0,16,6195.71,0
100,OPTIMISTIC_LOCK,100,0,0,238635.01,0
250,NO_LOCK,214,36,0,282937.79,14
250,SYNCHRONIZED,200,50,0,347705.15,0
250,FILE_LOCK,200,50,34,5708.46,0
250,OPTIMISTIC_LOCK,200,50,30,6650.09,0
500,NO_LOCK,243,256,0,480607.91,43
500,SYNCHRONIZED,200,300,0,277161.86,0
500,FILE_LOCK,200,300,85,2323.47,0
500,OPTIMISTIC_LOCK,200,300,29,6818.84,0
1000,NO_LOCK,214,785,0,268662.32,14
1000,SYNCHRONIZED,200,800,0,231307.47,0
1000,FILE_LOCK,200,800,127,1563.43,0
1000,OPTIMISTIC_LOCK,201,798,26,7560.76,1
