order_detail_id,order_id,product_id,quantity,unit_price
1,1,240,1,28.12
2,2,304,3,95.30
3,2,328,2,335.13
4,3,470,2,293.03
5,4,440,1,176.75
6,5,435,2,296.47
7,5,101,2,68.61
8,5,203,2,17.08
9,6,46,1,60.67
10,6,341,2,212.87
11,7,234,2,48.18
12,7,34,1,99.21
13,8,462,2,729.07
14,8,180,3,126.79
15,8,437,1,213.82
16,8,294,3,231.75
17,9,202,1,92.20
18,9,288,1,236.43
19,10,311,1,418.86
20,11,48,1,36.80
21,11,181,1,88.08
22,12,125,2,88.48
23,13,167,1,50.64
24,13,231,1,31.60
25,13,412,1,35.06
26,14,186,1,138.53
27,15,120,1,54.47
28,16,455,1,36.77
29,16,22,1,97.96
30,17,366,1,65.64
31,18,173,1,68.70
32,18,475,2,425.74
33,18,41,2,102.69
34,18,425,1,26.41
35,19,108,1,26.51
36,19,54,1,195.91
37,19,460,1,665.48
38,20,308,2,206.57
39,20,105,1,76.79
40,20,21,1,130.17
41,21,321,1,482.00
42,22,225,1,81.37
43,22,120,1,54.47
44,23,9,3,186.61
45,24,252,1,40.33
46,24,13,1,286.46
47,24,420,3,19.28
48,25,491,2,136.10
49,25,346,2,139.97
50,26,435,3,296.47
51,27,67,2,136.23
52,28,381,1,447.95
53,29,389,2,333.06
54,29,185,1,11.80
55,30,13,3,286.46
56,30,499,1,129.75
57,31,49,3,104.81
58,31,279,1,239.69
59,32,204,1,62.98
60,33,284,1,246.84
61,34,180,1,126.79
62,35,133,2,14.31
63,36,155,1,30.87
64,36,68,1,95.92
65,37,467,1,282.86
66,37,239,1,41.19
67,38,447,1,162.77
68,38,286,1,33.33
69,39,81,2,33.73
70,39,266,1,42.93
71,40,236,1,44.21
72,40,169,1,38.54
73,41,142,3,18.32
74,42,425,1,26.41
75,42,206,1,54.32
76,43,205,1,66.93
77,43,460,2,665.48
78,43,104,1,128.29
79,44,286,3,33.33
80,44,353,1,88.37
81,45,423,2,51.62
82,45,312,1,248.57
83,45,248,1,51.01
84,46,305,1,188.86
85,46,258,1,48.92
86,46,294,2,231.75
87,47,55,1,246.55
88,48,237,1,9.94
89,49,467,1,282.86
90,50,191,1,135.33
91,51,436,3,289.58
92,52,172,1,49.15
93,52,439,1,95.01
94,52,310,2,68.17
95,53,334,3,259.26
96,53,427,1,30.76
97,53,80,2,41.86
98,54,293,1,324.24
99,55,117,1,124.72
100,56,24,1,76.15
101,56,495,1,113.69
102,56,261,1,32.43
103,57,433,1,138.48
104,57,463,2,353.85
105,58,323,2,48.22
106,58,213,1,82.46
107,59,142,2,18.32
108,60,349,1,251.04
109,61,289,2,92.81
110,62,462,2,729.07
111,63,469,1,394.28
112,63,271,1,31.51
113,64,145,1,21.39
114,65,377,3,544.96
115,66,220,3,31.43
116,67,98,2,73.99
117,68,412,1,35.06
118,68,421,3,99.61
119,69,480,1,120.54
120,70,211,3,63.71
121,70,241,1,50.42
122,70,247,2,46.82
123,70,342,2,118.99
124,71,69,2,146.31
125,72,52,1,49.59
126,73,75,3,199.22
127,74,247,1,46.82
128,75,120,2,54.47
129,76,79,1,46.80
130,76,146,1,12.60
131,76,273,1,59.91
132,77,169,1,38.54
133,77,220,1,31.43
134,77,74,1,249.46
135,78,135,1,20.47
136,78,18,2,235.54
137,78,202,1,92.20
138,79,97,1,66.58
139,79,138,1,15.71
140,80,91,1,45.60
141,81,110,1,121.78
142,82,459,1,54.98
143,83,184,1,38.05
144,84,340,1,157.44
145,84,387,1,487.63
146,85,19,1,78.40
147,85,382,1,166.95
148,85,266,1,42.93
149,86,346,1,139.97
150,86,71,2,223.27
151,87,197,3,106.92
152,87,334,1,259.26
153,88,269,1,87.59
154,88,19,2,78.40
155,89,311,1,418.86
156,90,180,2,126.79
157,90,340,1,157.44
158,91,180,1,126.79
159,92,14,1,132.18
160,93,75,1,199.22
161,93,326,1,121.01
162,93,250,1,32.30
163,94,83,3,54.76
164,94,161,1,12.85
165,94,435,3,296.47
166,95,37,1,24.76
167,96,137,1,34.92
168,97,92,1,40.26
169,98,227,2,42.22
170,99,210,1,55.17
171,100,105,1,76.79
172,100,53,1,204.01
173,100,159,1,76.18
174,101,270,1,58.55
175,101,209,1,29.12
176,102,227,1,42.22
177,102,165,1,56.73
178,103,453,1,191.72
179,104,439,1,95.01
180,104,7,1,253.01
181,105,77,2,44.81
182,106,408,1,71.62
183,106,231,1,31.60
184,107,482,2,110.65
185,108,253,1,116.91
186,108,493,1,80.27
187,108,165,2,56.73
188,108,65,1,175.57
189,109,38,1,41.66
190,110,254,1,47.21
191,110,308,1,206.57
192,111,143,1,20.88
193,112,448,1,99.89
194,112,352,1,118.41
195,112,75,1,199.22
196,113,431,1,306.08
197,114,27,1,67.22
198,115,269,1,87.59
199,116,238,1,12.46
200,117,410,1,34.98
201,118,86,2,72.10
202,119,474,1,50.10
203,119,199,1,106.76
204,120,139,2,22.72
205,121,168,1,40.42
206,122,154,1,51.73
207,122,164,1,32.81
208,123,169,2,38.54
209,124,493,1,80.27
210,124,497,1,123.88
211,125,141,2,37.15
212,125,394,1,422.51
213,126,156,3,80.68
214,126,174,1,61.34
215,127,253,1,116.91
216,128,342,1,118.99
217,129,29,1,113.72
218,130,382,1,166.95
219,130,413,1,39.71
220,130,212,2,68.96
221,131,452,1,579.93
222,132,262,1,44.33
223,132,405,2,109.04
224,132,79,1,46.80
225,133,474,1,50.10
226,134,491,1,136.10
227,135,203,1,17.08
228,136,139,2,22.72
229,137,48,1,36.80
230,137,165,1,56.73
231,138,180,1,126.79
232,139,105,1,76.79
233,140,24,1,76.15
234,140,297,3,248.41
235,141,262,1,44.33
236,141,287,1,57.78
237,142,58,1,243.06
238,143,370,1,457.03
239,144,219,2,46.53
240,145,97,1,66.58
241,146,28,1,63.23
242,147,355,2,118.12
243,147,349,1,251.04
244,148,396,1,145.05
245,149,205,1,66.93
246,149,151,1,88.65
247,149,164,1,32.81
248,149,188,1,99.19
249,150,366,1,65.64
250,151,357,1,164.21
251,151,304,1,95.30
252,152,49,1,104.81
253,152,69,1,146.31
254,153,149,1,34.60
255,154,382,3,166.95
256,154,375,3,354.93
257,155,390,1,157.82
258,156,49,1,104.81
259,157,32,2,52.84
260,157,289,1,92.81
261,157,267,1,36.13
262,158,86,1,72.10
263,159,494,3,32.20
264,160,311,2,418.86
265,161,406,1,93.50
266,162,463,1,353.85
267,163,169,1,38.54
268,164,306,3,733.71
269,164,445,1,206.29
270,165,389,1,333.06
271,165,83,1,54.76
272,166,494,2,32.20
273,167,120,1,54.47
274,168,266,1,42.93
275,169,100,2,56.23
276,170,321,1,482.00
277,170,1,1,214.47
278,170,6,1,70.65
279,171,377,1,544.96
280,171,223,1,47.33
281,172,410,1,34.98
282,172,250,1,32.30
283,173,472,1,219.94
284,174,191,2,135.33
285,174,350,3,280.31
286,175,60,1,110.26
287,175,359,2,172.56
288,175,464,1,621.22
289,175,366,1,65.64
290,176,165,1,56.73
291,176,103,2,174.26
292,176,404,1,20.75
293,176,48,2,36.80
294,177,25,1,155.12
295,177,324,3,116.05
296,177,93,2,62.19
297,178,395,1,217.38
298,179,395,1,217.38
299,180,328,1,335.13
300,180,389,1,333.06
301,181,263,1,98.82
302,181,171,2,87.16
303,182,425,2,26.41
304,183,36,1,110.83
305,183,392,1,556.27
306,184,177,2,149.64
307,184,139,1,22.72
308,185,456,1,615.12
309,185,353,1,88.37
310,186,196,2,96.67
311,187,362,1,78.14
312,187,132,3,27.44
313,188,311,1,418.86
314,188,157,3,32.73
315,188,371,1,269.38
316,189,97,1,66.58
317,189,95,1,14.65
318,189,369,2,252.00
319,190,458,1,272.71
320,190,163,1,78.81
321,190,392,2,556.27
322,191,410,1,34.98
323,192,461,1,580.39
324,192,403,2,83.80
325,193,32,1,52.84
326,194,177,2,149.64
327,194,291,2,264.92
328,194,60,1,110.26
329,195,38,1,41.66
330,196,492,3,164.62
331,196,30,1,117.65
332,197,475,2,425.74
333,197,223,1,47.33
334,197,199,1,106.76
335,197,291,1,264.92
336,198,379,1,581.13
337,198,351,2,425.84
338,199,348,3,259.09
339,200,181,1,88.08
340,200,87,1,39.01
341,200,101,3,68.61
342,200,158,3,59.52
343,201,217,1,36.46
344,201,387,2,487.63
345,202,324,2,116.05
346,202,401,1,37.16
347,202,495,1,113.69
348,203,169,2,38.54
349,204,325,1,776.77
350,205,315,1,659.72
351,206,261,1,32.43
352,207,151,1,88.65
353,208,443,1,94.32
354,209,404,1,20.75
355,210,259,1,119.67
356,210,76,1,53.05
357,211,127,3,33.22
358,212,24,1,76.15
359,213,161,1,12.85
360,213,353,1,88.37
361,214,145,1,21.39
362,215,169,1,38.54
363,216,282,2,187.98
364,217,450,3,317.98
365,218,169,2,38.54
366,218,78,1,42.66
367,219,251,1,46.80
368,219,455,1,36.77
369,220,487,1,41.16
370,221,481,1,192.96
371,221,456,2,615.12
372,222,151,1,88.65
373,223,469,3,394.28
374,224,46,2,60.67
375,225,82,1,26.44
376,226,386,1,562.08
377,227,185,1,11.80
378,228,372,1,380.40
379,228,28,1,63.23
380,229,59,1,23.51
381,229,49,1,104.81
382,230,251,2,46.80
383,231,224,1,29.97
384,231,31,1,77.88
385,232,175,1,41.63
386,232,309,2,259.86
387,233,421,3,99.61
388,233,366,2,65.64
389,234,367,1,322.13
390,234,474,3,50.10
391,235,29,1,113.72
392,236,50,1,24.84
393,237,206,1,54.32
394,238,207,1,45.80
395,238,399,1,304.81
396,239,374,1,286.35
397,239,141,1,37.15
398,240,410,1,34.98
399,241,99,1,77.43
400,242,242,2,5.82
401,243,95,2,14.65
402,243,421,1,99.61
403,244,88,1,10.82
404,244,175,1,41.63
405,244,176,3,92.15
406,245,29,1,113.72
407,245,429,1,186.44
408,246,194,1,118.96
409,247,340,1,157.44
410,247,378,1,570.06
411,248,82,2,26.44
412,248,179,3,23.68
413,249,391,1,117.56
414,250,389,1,333.06
415,250,336,1,205.34
416,250,204,1,62.98
417,250,63,1,58.22
418,251,43,1,76.79
419,252,131,2,10.55
420,253,386,1,562.08
421,253,180,1,126.79
422,253,369,1,252.00
423,253,486,1,116.48
424,254,337,1,346.38
425,254,143,2,20.88
426,255,243,1,15.24
427,255,422,2,68.30
428,256,465,1,733.38
429,257,288,1,236.43
430,257,56,1,29.26
431,258,320,2,677.02
432,258,210,2,55.17
433,259,62,3,125.52
434,259,390,3,157.82
435,260,189,1,105.88
436,260,60,1,110.26
437,260,77,2,44.81
438,260,445,2,206.29
439,261,439,1,95.01
440,262,376,2,215.26
441,263,323,2,48.22
442,264,403,3,83.80
443,265,303,1,469.19
444,266,215,1,79.23
445,267,243,1,15.24
446,267,455,1,36.77
447,268,35,1,25.13
448,269,168,2,40.42
449,269,393,1,69.55
450,269,462,1,729.07
451,270,56,1,29.26
452,270,499,1,129.75
453,270,335,3,189.43
454,270,444,2,44.02
455,271,252,1,40.33
456,271,87,3,39.01
457,272,338,1,44.71
458,272,172,3,49.15
459,272,266,1,42.93
460,273,94,2,28.45
461,274,276,1,80.87
462,274,172,1,49.15
463,274,382,3,166.95
464,274,3,1,129.57
465,275,161,1,12.85
466,276,164,1,32.81
467,277,39,1,109.97
468,278,456,1,615.12
469,279,41,2,102.69
470,279,75,1,199.22
471,280,354,1,465.08
472,281,480,1,120.54
473,281,297,1,248.41
474,282,24,1,76.15
475,283,468,3,337.76
476,283,444,2,44.02
477,283,377,1,544.96
478,283,486,1,116.48
479,284,196,3,96.67
480,285,199,1,106.76
481,286,293,1,324.24
482,287,183,3,83.32
483,288,148,1,23.73
484,288,290,3,193.55
485,289,290,2,193.55
486,290,343,1,206.69
487,291,381,2,447.95
488,291,373,1,277.72
489,292,199,1,106.76
490,292,153,1,56.30
491,293,32,1,52.84
492,293,65,1,175.57
493,294,431,1,306.08
494,295,105,1,76.79
495,295,286,1,33.33
496,296,176,1,92.15
497,296,76,1,53.05
498,297,66,1,98.20
499,297,464,1,621.22
500,298,14,2,132.18
501,299,195,1,28.72
502,299,161,2,12.85
503,299,15,1,147.36
504,300,189,3,105.88
505,300,99,1,77.43
506,300,5,3,232.47
507,301,16,1,286.75
508,302,390,1,157.82
509,302,386,3,562.08
510,303,495,1,113.69
511,304,489,1,130.31
512,305,496,1,142.40
513,306,6,1,70.65
514,307,359,1,172.56
515,307,235,1,49.04
516,307,396,2,145.05
517,308,350,3,280.31
518,309,350,2,280.31
519,309,429,3,186.44
520,310,434,3,141.47
521,310,180,2,126.79
522,311,178,2,120.13
523,312,428,1,30.34
524,313,24,1,76.15
525,314,171,1,87.16
526,314,203,3,17.08
527,315,146,1,12.60
528,315,289,1,92.81
529,315,89,1,27.33
530,316,214,1,27.81
531,316,24,1,76.15
532,316,221,1,24.54
533,317,493,2,80.27
534,318,193,1,136.18
535,318,134,1,16.76
536,318,269,1,87.59
537,318,471,2,82.98
538,319,160,1,57.71
539,320,336,1,205.34
540,321,382,1,166.95
541,321,345,3,249.03
542,322,93,1,62.19
543,322,274,1,99.45
544,323,260,1,8.79
545,323,29,1,113.72
546,324,391,2,117.56
547,324,77,1,44.81
548,325,286,1,33.33
549,325,314,1,245.15
550,325,425,3,26.41
551,326,259,1,119.67
552,326,112,1,130.06
553,327,462,1,729.07
554,328,255,1,50.77
555,328,158,1,59.52
556,328,120,1,54.47
557,329,332,1,86.56
558,329,495,1,113.69
559,330,305,1,188.86
560,331,380,1,138.31
561,332,317,1,307.50
562,332,147,1,10.83
563,333,4,1,299.51
564,334,325,1,776.77
565,334,326,1,121.01
566,335,6,1,70.65
567,335,410,1,34.98
568,336,97,1,66.58
569,336,216,1,88.25
570,337,403,1,83.80
571,337,204,1,62.98
572,338,160,1,57.71
573,338,148,2,23.73
574,338,351,2,425.84
575,338,53,1,204.01
576,339,223,1,47.33
577,340,21,1,130.17
578,340,419,3,108.40
579,340,113,1,14.89
580,340,317,1,307.50
581,341,362,2,78.14
582,341,261,1,32.43
583,342,101,1,68.61
584,343,110,3,121.78
585,343,362,2,78.14
586,344,49,1,104.81
587,345,191,3,135.33
588,345,461,1,580.39
589,346,230,3,33.40
590,346,67,1,136.23
591,347,118,1,117.03
592,348,382,3,166.95
593,349,500,1,57.90
594,350,450,1,317.98
595,351,310,1,68.17
596,352,116,1,42.34
597,353,277,1,57.68
598,354,359,1,172.56
599,355,231,1,31.60
600,356,374,2,286.35
601,357,401,2,37.16
602,358,117,1,124.72
603,358,264,1,12.49
604,358,343,1,206.69
605,359,283,2,273.48
606,360,282,1,187.98
607,360,153,1,56.30
608,361,217,1,36.46
609,362,290,1,193.55
610,363,385,1,159.66
611,363,241,2,50.42
612,363,265,3,73.53
613,364,474,1,50.10
614,365,320,1,677.02
615,366,126,3,13.99
616,366,198,1,53.50
